objectid,parent id,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
landplats_001,,Lawrence Witsell Slave Enumeration,St. Bartholomew Parish Taxable Property data,1824,L. Witsell Property Tax,Witsell landowners,Colleton County S.C,32.8045,-80.491833,United States Census Bureau,,Image: Stillimage,jpeg,eng,Material produced by the United States Census Bureau and is in Public Domain at Familysearch.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1824_L_Witsell_75_enslaved.jpg,/objects/1824_L_Witsell_75_enslaved.jpg,/objects/small/1824_l_witsell_75_enslaved_sm.jpg,/objects/thumbs/1824_l_witsell_75_enslaved_th.jpg,,
landplats_002,,Robert Mills Map of St. Bartholomew,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",1825,Robert Mills Atlas Map,Planters and land maps,Colleton County S.C,32.8045,-80.491833,Library of Congress,http://hdl.loc.gov/loc.gmd/g3913c.cws00136,Image: Stillimage,png,eng,"material reproduced by Library of Congress, Geography and Map Division",http://rightsstatements.org/vocab/NoC-US/1.0/,image,1825_Witsel_plantation_map_.png,/objects/1825_Witsel_plantation_map_.png,/objects/small/1825_witsel_plantation_map__sm.jpg,/objects/thumbs/1825_witsel_plantation_map__th.jpg,,
landplats_003,,Lawrence Witsell slave enumeration,St.Bartholomew Census,1840,Lawrence  enslaved,Lawrence  enslaved,Colleton County S.C,32.80875,-80.490806,United States Census Bureau,St. Bartholomew Parish No. 4,Image: Stillimage,jpeg,eng,materials reproduced by ancestry.com,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1840_Witsell_slave__schedule.jpg,/objects/1840_Witsell_slave__schedule.jpg,/objects/small/1840_witsell_slave__schedule_sm.jpg,/objects/thumbs/1840_witsell_slave__schedule_th.jpg,,
landplats_004,,Lawrence John Witsell Election Polls,St.Bartholomew Parish Election appointment,1841,John Hill replaces LJ as manager of Jacksonboro and Round O Polls,LJ Witsell Poll Manager,Colleton County S.C,32.80875,-80.490806,South Carolina Department of Archives and History,No-1119-01,Image: Stillimage,jpeg,eng,materials produced by South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1841_LJ_Witsell_Petitions__to_change_Election_Managers_at_Jacksonborough_and_Round_O_Polls.jpg,/objects/1841_LJ_Witsell_Petitions__to_change_Election_Managers_at_Jacksonborough_and_Round_O_Polls.jpg,/objects/small/1841_lj_witsell_petitions__to_change_election_managers_at_jacksonborough_and_round_o_polls_sm.jpg,/objects/thumbs/1841_lj_witsell_petitions__to_change_election_managers_at_jacksonborough_and_round_o_polls_th.jpg,,
landplats_005,,Dr. Emanuel Witsell Census,United States Census Bureau,1850,"Dr. Emmanuel Witsell, Widowed mother Mary and sister Eliza",Census and Property worth,Colleton County S.C,32.80875,-80.490806,United States Census Bureau,St. Bartholomew Parish September 3 1850 Census,Image: Stillimage,pdf,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_Emmanual_Witsell.jpg,/objects/1850_Emmanual_Witsell.jpg,/objects/small/1850_emmanual_witsell_sm.jpg,/objects/thumbs/1850_emmanual_witsell_th.jpg,,
landplats_006,,Lawrence John Witsell Slave Enumeration,United States Census Bureau,1850,LJ Witsell 20 Enslaved,St. Bartholomew Parish Slave Enumeration collected August 14th,Colleton County S.C,32.8045,-80.491833,United States Census Bureau,St. Bartholomew Parish September 3 1850 Census,Image: Stillimage,jpeg,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_Emmanuel_Census.jpg,/objects/1850_Emmanuel_Census.jpg,/objects/small/1850_emmanuel_census_sm.jpg,/objects/thumbs/1850_emmanuel_census_th.jpg,,
landplats_007,,Lawrence John Witsell Slave Enumeration,United States Census Bureau,1850,LJ Witsell 10 Enslaved,St. Bartholomew Parish Slave Enumeration collected August 16th,Colleton County S.C,32.80875,-80.490806,United States Census Bureau,St. Bartholomew Parish September 3 1850 Census,Image: Stillimage,jpeg,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_LJ_Slave_Schedule_2.jpg,/objects/1850_LJ_Slave_Schedule_2.jpg,/objects/small/1850_lj_slave_schedule_2_sm.jpg,/objects/thumbs/1850_lj_slave_schedule_2_th.jpg,,
landplats_008,,Dr. Robert Witsells signs petition to South Carolina State Senate to prohibit the sell of Liquor and consumption by persons of color,,1852,Dr. Robert Witsell Signs Petition,St. Bartholomew' Parish petition to the SC senate,Colleton County S.C,32.8045,-80.491833,South Carolina Department of Archives and History,St. Bartholomew Parish petition to SC Senate,Image: Stillimage,jpeg,eng,materials produced by ancestry.org,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1850_LJ_Slave_Schedule_3.jpg,/objects/1850_LJ_Slave_Schedule_3.jpg,/objects/small/1850_lj_slave_schedule_3_sm.jpg,/objects/thumbs/1850_lj_slave_schedule_3_th.jpg,,
landplats_009,,Dr. Emanuel Witsell Labor Contract with a Freedman,National Archives,1865,Dr. Emanuel Witsell is approved by 35th United States Colored Troop James C Beecher for a labor contract with freedmen,Colleton District labor contract post Civil War,Colleton County S.C,32.764917,-80.446361,National Archives,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the South Carolina Department of Archives and History,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1852_Robert_Witsell_signs_a_petition_barring_slaves_from__selling_liquour.jpg,/objects/1852_Emmanuel_Witsell_signs_a_petition_barring_slaves_from__selling_liquour.jpg,/objects/small/1852_emmanuel_witsell_signs_a_petition_barring_slaves_from__selling_liquour_sm.jpg,/objects/thumbs/1852_emmanuel_witsell_signs_a_petition_barring_slaves_from__selling_liquour_th.jpg,,
landplats_010,,Cuffy Witsell Sr. pays property taxes on 25 acres,South Carolina Department of Archives and History,1869,"Cuffy Witsell Sr. pays property taxes and sign with an X, on 1 horse, 2 cattles and 1 hog. The tax assessor is H.G. Glover","Property Taxes paid on September 22nd  in Round O, SC","Round O,Colleton County,South Carolina",32.853583,-80.5135,South Carolina Department of Archive and History,Colleton County District Records,Image: Stillimage,jpeg,eng,material produced by the National Archives,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1869_Cuffy_Witsell_Property_Tax_1.jpeg,/objects/1869_Cuffy_Witsell_Property_Tax_1.jpeg,/objects/small/1869_cuffy_witsell_property_tax_1_sm.jpg,/objects/thumbs/1869_cuffy_witsell_property_tax_1_th.jpg,,
